geo,name,year,pop,gdp,lifeExp,Continent,Country
afg,Afghanistan,1800,3280000.0,560.88817,28.21,Asia,Afghanistan
afg,Afghanistan,1801,3280000.0,560.88817,28.2,Asia,Afghanistan
afg,Afghanistan,1802,3280000.0,560.88817,28.19,Asia,Afghanistan
afg,Afghanistan,1803,3280000.0,560.88817,28.18,Asia,Afghanistan
afg,Afghanistan,1804,3280000.0,560.88817,28.17,Asia,Afghanistan
afg,Afghanistan,1805,3280000.0,560.88817,28.16,Asia,Afghanistan
afg,Afghanistan,1806,3280000.0,560.88817,28.15,Asia,Afghanistan
afg,Afghanistan,1807,3280000.0,560.88817,28.14,Asia,Afghanistan
afg,Afghanistan,1808,3280000.0,560.88817,28.13,Asia,Afghanistan
afg,Afghanistan,1809,3280000.0,560.88817,28.12,Asia,Afghanistan
afg,Afghanistan,1810,3280000.0,560.88817,28.11,Asia,Afghanistan
afg,Afghanistan,1811,3280000.0,560.88817,28.1,Asia,Afghanistan
afg,Afghanistan,1812,3280000.0,560.88817,28.09,Asia,Afghanistan
afg,Afghanistan,1813,3280000.0,560.88817,28.08,Asia,Afghanistan
afg,Afghanistan,1814,3280000.0,560.88817,28.07,Asia,Afghanistan
afg,Afghanistan,1815,3280000.0,560.88817,28.06,Asia,Afghanistan
afg,Afghanistan,1816,3280000.0,560.88817,28.05,Asia,Afghanistan
afg,Afghanistan,1817,3280000.0,560.88817,28.04,Asia,Afghanistan
afg,Afghanistan,1818,3280000.0,560.88817,28.03,Asia,Afghanistan
afg,Afghanistan,1819,3282935.0,560.88817,28.02,Asia,Afghanistan
afg,Afghanistan,1820,3288817.0,560.88817,28.01,Asia,Afghanistan
afg,Afghanistan,1821,3297661.0,560.88817,28.0,Asia,Afghanistan
afg,Afghanistan,1822,3309479.0,562.15903,27.99,Asia,Afghanistan
afg,Afghanistan,1823,3324285.0,563.43277,27.98,Asia,Afghanistan
afg,Afghanistan,1824,3339157.0,564.7094,27.97,Asia,Afghanistan
afg,Afghanistan,1825,3354095.0,565.98893,27.95,Asia,Afghanistan
afg,Afghanistan,1826,3369101.0,567.27135,27.94,Asia,Afghanistan
afg,Afghanistan,1827,3384173.0,568.55668,27.93,Asia,Afghanistan
afg,Afghanistan,1828,3399313.0,569.84492,27.92,Asia,Afghanistan
